Marca,Modelo,Año,Tipo_Combustible,Potencia_HP,Cilindros,Tipo_Transmision,Categoria_Mercado,Tamaño_Vehiculo,Vehicle Style,KPL_Carretera,KPL_Ciudad,Precio,Consumo_KPL_Carretera
BMW,1 Series,2013,premium unleaded (required),320.0,6.0,MANUAL,"Luxury,High-Performance",Compact,Coupe,11.904032,8.502880000000001,43550,Bajo
Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,Luxury,Midsize,Sedan,10.203456000000001,7.227448000000001,2000,Bajo
Audi,100,1992,regular unleaded,172.0,6.0,AUTOMATIC,Luxury,Midsize,Wagon,8.502880000000001,6.802304,2000,Bajo
Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,Luxury,Midsize,Sedan,8.928024,6.802304,2000,Bajo
Audi,100,1993,regular unleaded,172.0,6.0,MANUAL,Luxury,Midsize,Sedan,10.203456000000001,7.227448000000001,2000,Bajo
Audi,100,1993,regular unleaded,172.0,6.0,AUTOMATIC,Luxury,Midsize,Wagon,8.502880000000001,6.802304,2000,Bajo
Audi,100,1993,regular unleaded,172.0,6.0,MANUAL,Luxury,Midsize,Sedan,8.928024,6.802304,2000,Bajo
Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,Luxury,Midsize,Wagon,8.928024,6.802304,2000,Bajo
Audi,100,1994,regular unleaded,172.0,6.0,MANUAL,Luxury,Midsize,Sedan,9.353168,6.802304,2000,Bajo
Audi,100,1994,regular unleaded,172.0,6.0,MANUAL,Luxury,Midsize,Sedan,9.353168,7.227448000000001,2000,Bajo
Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,Luxury,Midsize,Sedan,9.353168,6.802304,2000,Bajo
FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,Performance,Compact,Convertible,14.880040000000001,11.053744,27495,Bajo
FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,Performance,Compact,Convertible,14.880040000000001,11.053744,24995,Bajo
FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,Performance,Compact,Convertible,14.880040000000001,11.053744,28195,Bajo
Mercedes-Benz,190-Class,1991,regular unleaded,130.0,4.0,MANUAL,Luxury,Compact,Sedan,11.053744,7.652592,2000,Bajo
Mercedes-Benz,190-Class,1991,regular unleaded,158.0,6.0,MANUAL,Luxury,Compact,Sedan,10.6286,7.227448000000001,2000,Bajo
Mercedes-Benz,190-Class,1992,regular unleaded,158.0,6.0,MANUAL,Luxury,Compact,Sedan,10.6286,7.227448000000001,2000,Bajo
Mercedes-Benz,190-Class,1992,regular unleaded,130.0,4.0,MANUAL,Luxury,Compact,Sedan,11.053744,7.652592,2000,Bajo
Mercedes-Benz,190-Class,1993,regular unleaded,130.0,4.0,MANUAL,Luxury,Compact,Sedan,11.053744,7.652592,2000,Bajo
Mercedes-Benz,190-Class,1993,regular unleaded,158.0,6.0,MANUAL,Luxury,Compact,Sedan,10.6286,7.227448000000001,2000,Bajo
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,"Luxury,Performance",Compact,Coupe,14.880040000000001,9.778312,32850,Bajo
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,Luxury,Compact,Convertible,14.454896000000002,9.778312,38650,Bajo
BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,13.179464000000001,8.502880000000001,48750,Bajo
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,"Luxury,Performance",Compact,Coupe,14.880040000000001,9.778312,34850,Bajo
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,Luxury,Compact,Convertible,14.454896000000002,9.353168,40650,Bajo
BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,13.179464000000001,8.502880000000001,44150,Bajo
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,MANUAL,"Luxury,Performance",Compact,Coupe,14.454896000000002,9.353168,32850,Bajo
BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,12.75432,8.502880000000001,46150,Bajo
BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,12.75432,8.502880000000001,50750,Bajo
BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,13.179464000000001,8.928024,46450,Bajo
BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,13.604608,8.928024,49050,Bajo
BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,13.604608,8.928024,51050,Bajo
BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,13.604608,8.928024,44450,Bajo
BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,"Luxury,Performance",Compact,Convertible,14.454896000000002,9.778312,38950,Bajo
BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,"Luxury,Performance",Compact,Coupe,14.880040000000001,10.203456000000001,33150,Bajo
BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,"Luxury,Performance",Compact,Coupe,14.029752,10.203456000000001,35150,Bajo
BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,Luxury,Compact,Convertible,14.029752,9.778312,40950,Bajo
Audi,200,1990,regular unleaded,162.0,5.0,AUTOMATIC,Luxury,Midsize,Sedan,8.502880000000001,6.802304,2000,Bajo
Audi,200,1990,regular unleaded,162.0,5.0,MANUAL,Luxury,Midsize,Wagon,9.353168,6.37716,2000,Bajo
Audi,200,1990,regular unleaded,162.0,5.0,MANUAL,Luxury,Midsize,Sedan,9.778312,6.37716,2000,Bajo
Audi,200,1991,regular unleaded,217.0,5.0,MANUAL,"Luxury,Performance",Midsize,Sedan,9.353168,6.802304,2000,Bajo
Audi,200,1991,regular unleaded,217.0,5.0,MANUAL,"Luxury,Performance",Midsize,Wagon,9.353168,6.802304,2000,Bajo
Audi,200,1991,regular unleaded,162.0,5.0,AUTOMATIC,Luxury,Midsize,Sedan,8.502880000000001,6.802304,2000,Bajo
Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,25170,Medio 
Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,23950,Medio 
Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,"Flex Fuel,Performance",Midsize,Sedan,12.329176,7.652592,29370,Bajo
Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,21995,Medio 
Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,"Flex Fuel,Performance",Midsize,Sedan,15.305184,9.778312,26625,Medio 
Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,"Flex Fuel,Performance",Midsize,Sedan,12.329176,7.652592,30825,Bajo
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,21995,Medio 
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,27795,Medio 
Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,"Flex Fuel,Performance",Midsize,Sedan,12.329176,7.652592,31785,Bajo
Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,"Flex Fuel,Performance",Midsize,Sedan,12.329176,7.652592,29905,Bajo
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,22490,Medio 
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,27570,Medio 
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,25690,Medio 
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,24490,Medio 
Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,"Flex Fuel,Performance",Midsize,Sedan,11.904032,7.652592,29905,Bajo
Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,"Flex Fuel,Performance",Midsize,Sedan,11.904032,7.652592,31785,Bajo
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,26685,Medio 
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,22490,Medio 
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,25690,Medio 
Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,"Flex Fuel,Performance",Midsize,Sedan,11.904032,7.652592,30900,Bajo
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,27795,Medio 
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,21995,Medio 
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,Flex Fuel,Midsize,Sedan,15.305184,9.778312,24490,Medio 
Nissan,200SX,1996,regular unleaded,115.0,4.0,MANUAL,,Compact,Coupe,15.305184,11.053744,2000,Medio 
Nissan,200SX,1996,regular unleaded,140.0,4.0,MANUAL,Performance,Compact,Coupe,12.329176,8.928024,2000,Bajo
Nissan,200SX,1997,regular unleaded,140.0,4.0,MANUAL,Performance,Compact,Coupe,12.329176,8.928024,2000,Bajo
Nissan,200SX,1997,regular unleaded,115.0,4.0,MANUAL,,Compact,Coupe,14.880040000000001,10.6286,2000,Bajo
Nissan,200SX,1998,regular unleaded,115.0,4.0,MANUAL,,Compact,Coupe,14.880040000000001,10.6286,2000,Bajo
Nissan,200SX,1998,regular unleaded,140.0,4.0,MANUAL,Performance,Compact,Coupe,11.904032,8.502880000000001,2073,Bajo
Nissan,240SX,1996,regular unleaded,155.0,4.0,MANUAL,Performance,Compact,Coupe,11.053744,8.077736,3713,Bajo
Nissan,240SX,1996,regular unleaded,155.0,4.0,MANUAL,Performance,Compact,Coupe,11.053744,8.077736,3520,Bajo
Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,Performance,Compact,Coupe,11.053744,8.077736,3910,Bajo
Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,Performance,Compact,Coupe,11.053744,8.077736,4182,Bajo
Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,Performance,Compact,Coupe,11.053744,8.077736,4107,Bajo
Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,Performance,Compact,Coupe,10.6286,8.502880000000001,4299,Bajo
Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,Performance,Compact,Coupe,10.6286,8.502880000000001,4693,Bajo
Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,Performance,Compact,Coupe,10.6286,8.502880000000001,4107,Bajo
Volvo,240,1991,regular unleaded,114.0,4.0,MANUAL,Luxury,Midsize,Wagon,11.053744,8.077736,2000,Bajo
Volvo,240,1991,regular unleaded,114.0,4.0,AUTOMATIC,Luxury,Midsize,Wagon,9.778312,7.652592,2000,Bajo
Volvo,240,1991,regular unleaded,114.0,4.0,MANUAL,Luxury,Midsize,Sedan,11.053744,8.077736,2000,Bajo
Volvo,240,1992,regular unleaded,114.0,4.0,MANUAL,Luxury,Midsize,Sedan,11.053744,8.077736,2000,Bajo
Volvo,240,1992,regular unleaded,114.0,4.0,MANUAL,Luxury,Midsize,Wagon,11.053744,8.077736,2000,Bajo
Volvo,240,1993,regular unleaded,114.0,4.0,MANUAL,Luxury,Midsize,Sedan,11.053744,8.077736,2000,Bajo
Volvo,240,1993,regular unleaded,114.0,4.0,MANUAL,Luxury,Midsize,Wagon,10.6286,7.652592,2000,Bajo
Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,Hatchback,Compact,4dr Hatchback,14.880040000000001,12.329176,16020,Bajo
Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,Hatchback,Compact,4dr Hatchback,14.880040000000001,12.329176,14530,Bajo
Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,Hatchback,Compact,4dr Hatchback,14.454896000000002,11.904032,16860,Bajo
Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,Hatchback,Compact,4dr Hatchback,14.454896000000002,11.904032,15370,Bajo
Mazda,2,2013,regular unleaded,100.0,4.0,AUTOMATIC,Hatchback,Compact,4dr Hatchback,14.454896000000002,11.904032,17050,Bajo
Mazda,2,2013,regular unleaded,100.0,4.0,AUTOMATIC,Hatchback,Compact,4dr Hatchback,14.454896000000002,11.904032,15560,Bajo
Mazda,2,2013,regular unleaded,100.0,4.0,MANUAL,Hatchback,Compact,4dr Hatchback,14.880040000000001,12.329176,16210,Bajo
Mazda,2,2013,regular unleaded,100.0,4.0,MANUAL,Hatchback,Compact,4dr Hatchback,14.880040000000001,12.329176,14720,Bajo
Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,Hatchback,Compact,4dr Hatchback,14.454896000000002,11.904032,17050,Bajo
Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,Hatchback,Compact,4dr Hatchback,14.454896000000002,11.904032,15560,Bajo
Mazda,2,2014,regular unleaded,100.0,4.0,MANUAL,Hatchback,Compact,4dr Hatchback,14.880040000000001,12.329176,16210,Bajo
Mazda,2,2014,regular unleaded,100.0,4.0,MANUAL,Hatchback,Compact,4dr Hatchback,14.880040000000001,12.329176,14720,Bajo
BMW,3 Series Gran Turismo,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,12.75432,8.502880000000001,47250,Bajo
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,"Hatchback,Luxury",Midsize,4dr Hatchback,14.029752,9.353168,41850,Bajo
BMW,3 Series Gran Turismo,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,"Hatchback,Luxury",Midsize,4dr Hatchback,14.454896000000002,9.353168,43000,Bajo
BMW,3 Series Gran Turismo,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,12.75432,8.502880000000001,49200,Bajo
BMW,3 Series Gran Turismo,2017,premium unleaded (required),320.0,6.0,AUTOMATIC,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,12.75432,8.502880000000001,49650,Bajo
BMW,3 Series Gran Turismo,2017,premium unleaded (required),248.0,4.0,AUTOMATIC,"Hatchback,Luxury",Midsize,4dr Hatchback,14.029752,9.778312,43950,Bajo
BMW,3 Series,2015,premium unleaded (required),241.0,4.0,AUTOMATIC,Luxury,Midsize,Wagon,14.029752,9.353168,41950,Bajo
BMW,3 Series,2015,premium unleaded (required),335.0,6.0,AUTOMATIC,"Luxury,High-Performance,Hybrid",Midsize,Sedan,14.029752,10.6286,50150,Bajo
BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,"Luxury,Performance",Midsize,Sedan,14.880040000000001,9.778312,37500,Bajo
BMW,3 Series,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,"Luxury,High-Performance",Midsize,Sedan,13.604608,8.928024,43750,Bajo
BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,"Diesel,Luxury",Midsize,Sedan,19.13148,13.604608,39000,Medio 
BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,Luxury,Midsize,Sedan,14.029752,9.353168,39500,Bajo
BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,Luxury,Midsize,Sedan,14.880040000000001,9.778312,34950,Bajo
BMW,3 Series,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,"Luxury,Performance",Midsize,Sedan,12.75432,8.502880000000001,45750,Bajo
BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,"Diesel,Luxury",Midsize,Wagon,18.281192,13.179464000000001,43450,Medio 
BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,"Diesel,Luxury",Midsize,Sedan,18.281192,13.179464000000001,41000,Medio 
BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,Luxury,Midsize,Sedan,15.305184,10.203456000000001,32950,Medio 
BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,"Diesel,Luxury",Midsize,Sedan,17.005760000000002,12.75432,41850,Medio 
BMW,3 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,"Luxury,High-Performance",Midsize,Sedan,14.029752,9.353168,47800,Bajo
BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,"Diesel,Luxury",Midsize,Sedan,17.856048,13.604608,39850,Medio 
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,"Luxury,Performance",Midsize,Sedan,14.454896000000002,9.353168,38350,Bajo
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,Luxury,Midsize,Sedan,14.454896000000002,9.353168,40350,Bajo
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,MANUAL,"Luxury,Performance",Midsize,Sedan,14.454896000000002,9.353168,38350,Bajo
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,Luxury,Midsize,Wagon,14.454896000000002,9.353168,42650,Bajo
BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,Luxury,Midsize,Sedan,15.305184,10.203456000000001,33150,Medio 
BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,Luxury,Midsize,Sedan,14.880040000000001,9.778312,35150,Bajo
BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,"Diesel,Luxury",Midsize,Wagon,17.005760000000002,12.75432,44150,Medio 
BMW,3 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,"Luxury,High-Performance",Midsize,Sedan,14.029752,9.353168,45800,Bajo
BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,"Luxury,Performance",Midsize,Sedan,14.454896000000002,9.778312,38750,Bajo
BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,Luxury,Midsize,Sedan,14.454896000000002,9.778312,35450,Bajo
BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,Luxury,Midsize,Sedan,14.880040000000001,9.778312,33450,Bajo
BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,Luxury,Midsize,Sedan,14.029752,9.778312,40750,Bajo
BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,"Diesel,Luxury",Midsize,Sedan,17.005760000000002,12.75432,42250,Medio 
BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,Luxury,Midsize,Wagon,14.029752,9.778312,42950,Bajo
BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,"Diesel,Luxury",Midsize,Sedan,17.856048,13.604608,40250,Medio 
BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,"Luxury,Performance",Midsize,Sedan,13.179464000000001,8.928024,49900,Bajo
BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,"Luxury,High-Performance",Midsize,Sedan,13.604608,8.928024,47900,Bajo
BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,"Diesel,Luxury",Midsize,Wagon,17.005760000000002,12.75432,44450,Medio 
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,Luxury,Large,Sedan,8.077736,6.37716,2232,Bajo
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,Luxury,Midsize,Wagon,8.502880000000001,6.37716,2000,Bajo
Mercedes-Benz,300-Class,1991,regular unleaded,158.0,6.0,AUTOMATIC,Luxury,Midsize,Sedan,9.353168,7.227448000000001,2000,Bajo
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,Luxury,Midsize,Sedan,8.502880000000001,6.37716,2105,Bajo
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,Luxury,Midsize,Wagon,7.652592,6.37716,2199,Bajo
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,Luxury,Midsize,Sedan,9.353168,6.802304,2000,Bajo
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,Luxury,Large,Sedan,8.077736,6.37716,2124,Bajo
Mercedes-Benz,300-Class,1991,regular unleaded,228.0,6.0,MANUAL,"Luxury,Performance",Compact,Convertible,8.928024,5.952016,3552,Bajo
Mercedes-Benz,300-Class,1991,regular unleaded,217.0,6.0,AUTOMATIC,Luxury,Midsize,Coupe,9.353168,6.37716,2179,Bajo
Mercedes-Benz,300-Class,1991,diesel,121.0,5.0,AUTOMATIC,"Diesel,Luxury",Midsize,Sedan,12.75432,9.778312,2000,Bajo
Mercedes-Benz,300-Class,1992,diesel,121.0,5.0,AUTOMATIC,"Diesel,Luxury",Midsize,Sedan,12.329176,9.778312,2000,Bajo
Mercedes-Benz,300-Class,1992,regular unleaded,228.0,6.0,AUTOMATIC,Luxury,Large,Sedan,7.227448000000001,5.952016,2377,Bajo
Mercedes-Benz,300-Class,1992,regular unleaded,228.0,6.0,MANUAL,"Luxury,Performance",Compact,Convertible,8.928024,6.37716,3814,Bajo
Mercedes-Benz,300-Class,1992,regular unleaded,177.0,6.0,AUTOMATIC,Luxury,Midsize,Sedan,8.077736,6.37716,2207,Bajo
Mercedes-Benz,300-Class,1992,regular unleaded,177.0,6.0,AUTOMATIC,Luxury,Midsize,Wagon,8.502880000000001,6.37716,2000,Bajo
Mercedes-Benz,300-Class,1992,regular unleaded,217.0,6.0,AUTOMATIC,Luxury,Midsize,Coupe,8.928024,6.37716,2248,Bajo
Mercedes-Benz,300-Class,1992,regular unleaded,177.0,6.0,AUTOMATIC,Luxury,Midsize,Sedan,9.353168,6.802304,2065,Bajo
Mercedes-Benz,300-Class,1992,diesel,148.0,6.0,AUTOMATIC,"Diesel,Luxury",Large,Sedan,9.353168,7.652592,2547,Bajo
Mercedes-Benz,300-Class,1992,regular unleaded,177.0,6.0,AUTOMATIC,Luxury,Midsize,Wagon,7.652592,6.37716,2282,Bajo
Mercedes-Benz,300-Class,1992,regular unleaded,158.0,6.0,AUTOMATIC,Luxury,Midsize,Sedan,9.778312,7.652592,2000,Bajo
Mercedes-Benz,300-Class,1993,regular unleaded,177.0,6.0,AUTOMATIC,Luxury,Midsize,Wagon,8.077736,6.37716,2544,Bajo
Mercedes-Benz,300-Class,1993,regular unleaded,217.0,6.0,AUTOMATIC,Luxury,Midsize,Coupe,9.353168,7.227448000000001,2397,Bajo
Mercedes-Benz,300-Class,1993,diesel,121.0,5.0,AUTOMATIC,"Diesel,Luxury",Midsize,Sedan,12.75432,9.778312,2000,Bajo
Mercedes-Benz,300-Class,1993,regular unleaded,228.0,6.0,MANUAL,"Luxury,Performance",Compact,Convertible,8.928024,5.952016,4174,Bajo
Mercedes-Benz,300-Class,1993,regular unleaded,217.0,6.0,AUTOMATIC,Luxury,Midsize,Sedan,9.353168,7.227448000000001,2187,Bajo
Mercedes-Benz,300-Class,1993,diesel,148.0,6.0,AUTOMATIC,"Diesel,Luxury",Large,Sedan,9.353168,7.652592,2729,Bajo
Mercedes-Benz,300-Class,1993,regular unleaded,177.0,6.0,AUTOMATIC,Luxury,Midsize,Sedan,8.077736,6.37716,2433,Bajo
Mercedes-Benz,300-Class,1993,regular unleaded,194.0,6.0,AUTOMATIC,Luxury,Midsize,Sedan,9.778312,7.227448000000001,2247,Bajo
Mercedes-Benz,300-Class,1993,regular unleaded,228.0,6.0,AUTOMATIC,Luxury,Large,Sedan,7.652592,5.952016,2540,Bajo
Mitsubishi,3000GT,1997,regular unleaded,218.0,6.0,MANUAL,"Hatchback,Performance",Compact,2dr Hatchback,9.778312,7.227448000000001,3941,Bajo
Mitsubishi,3000GT,1997,regular unleaded,161.0,6.0,MANUAL,Hatchback,Compact,2dr Hatchback,9.353168,7.227448000000001,3295,Bajo
